STATION,mode,N,NODENAME,X,Y,GEOGKEY,TAZID,STATION_OBS_ID,STATION_OBS,LAT,LON
Murray Central,CRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_750_01_FR198021,MURRAY CENTRAL STATION,40.659758,-111.896432
Murray Central,LRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_701_01_TX153027,MURRAY CENTRAL STATION,40.660269,-111.895282
Murray Central,LRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_703_01_TX153027,MURRAY CENTRAL STATION,40.660269,-111.895282
Murray Central,LRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_701_00_TX153034,MURRAY CENTRAL STATION,40.659631,-111.895661
Murray Central,LRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_703_00_TX153034,MURRAY CENTRAL STATION,40.659631,-111.895661
Murray Central,LRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_750_00_FR198021,MURRAY CENTRAL STATION,40.659758,-111.896432
Murray Central,LRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_750_01_FR198021,MURRAY CENTRAL STATION,40.659758,-111.896432
Murray North,LRT,15077.0,Murray North,424447.0,4503260.0,424447_4503260,1619.0,SLC_1_701_01_TX136045,MURRAY NORTH STATION,40.677155,-111.894053
Murray North,LRT,15077.0,Murray North,424447.0,4503260.0,424447_4503260,1619.0,SLC_1_703_01_TX136045,MURRAY NORTH STATION,40.677155,-111.894053
Murray North,LRT,15077.0,Murray North,424447.0,4503260.0,424447_4503260,1619.0,SLC_1_701_00_TX136048,MURRAY NORTH STATION,40.676454,-111.894079
Murray North,LRT,15077.0,Murray North,424447.0,4503260.0,424447_4503260,1619.0,SLC_1_703_00_TX136048,MURRAY NORTH STATION,40.676454,-111.894079
North Temple,CRT,10021.0,North Temple,423610.8845,4513767.165,423610_4513767,1027.0,SLC_1_750_00_FR198030,NORTH TEMPLE STATION,40.772532,-111.905124
North Temple,CRT,10021.0,North Temple,423610.8845,4513767.165,423610_4513767,1027.0,SLC_1_750_01_FR198030,NORTH TEMPLE STATION,40.772532,-111.905124
North Temple Bridge/Guadalupe,LRT,,,,,,,SLC_1_704_00_TX101992,NORTH TEMPLE BRIDGE/GUADALUPE,40.771578,-111.904318
North Temple Bridge/Guadalupe,LRT,,,,,,,SLC_1_704_01_TX101991,NORTH TEMPLE BRIDGE/GUADALUPE,40.771587,-111.905195
Ogden,CRT,10046.0,Ogden,417871.0,4564006.0,417871_4564006,368.0,SLC_1_750_01_FR601084,OGDEN STATION,41.224285,-111.980631
Ogden,CRT,10046.0,Ogden,417871.0,4564006.0,417871_4564006,368.0,SLC_1_750_00_FR601084,OGDEN STATION,41.224285,-111.980631
Old GreekTown,LRT,15119.0,Old GreekTown,423534.0,4513034.0,423534_4513034,1065.0,,,,
Old Greektown,,,,,,,,SLC_1_701_00_TX101406,OLD GREEKTOWN STATION,40.765022,-111.906778
Old Greektown,,,,,,,,SLC_1_701_01_TX101396,OLD GREEKTOWN STATION,40.765022,-111.905788
Orem Central,CRT,50029.0,Orem Central,438356.2813,4459074.432,438356_4459074,2882.0,SLC_1_750_00_FR801163,OREM CENTRAL STATION,40.28014,-111.725489
Orem Central,CRT,50029.0,Orem Central,438356.2813,4459074.432,438356_4459074,2882.0,SLC_1_750_01_FR801163,OREM CENTRAL STATION,40.28014,-111.725489
Orem Central (Bay A),,,,,,,,SLC_1_830X_00_830264,OREM CENTRAL STATION (BAY A),40.280776,-111.726227
Orem Central (Bay A),,,,,,,,SLC_1_830X_01_830264,OREM CENTRAL STATION (BAY A),40.280776,-111.726227
Planetarium,LRT,15126.0,Planetarium,423848.0,4513276.0,423848_4513276,1070.0,SLC_1_701_00_TX101395,PLANETARIUM STATION,40.766858,-111.902524
Planetarium,LRT,15126.0,Planetarium,423848.0,4513276.0,423848_4513276,1070.0,SLC_1_701_01_TX101405,PLANETARIUM STATION,40.766096,-111.902558
Power,LRT,15105.0,Power,421101.0,4513789.0,421101_4513789,1017.0,SLC_1_704_00_TX101998,POWER STATION,40.771509,-111.934373
Power,LRT,15105.0,Power,421101.0,4513789.0,421101_4513789,1017.0,SLC_1_704_01_TX101997,POWER STATION,40.771499,-111.933502
Provo Central,CRT,50024.0,Provo Central,443771.3641,4452975.47,443771_4452975,3001.0,SLC_1_750_00_FR801164,PROVO CENTRAL STATION,40.22544,-111.660632
Provo Central,CRT,50024.0,Provo Central,443771.3641,4452975.47,443771_4452975,3001.0,SLC_1_750_01_FR801164,PROVO CENTRAL STATION,40.22544,-111.660632
Provo Central (Bay H),,,,,,,,SLC_1_830X_01_830274,PROVO CENTRAL STATION (BAY H),40.225211,-111.66129
Provo Central (Bay H),,,,,,,,SLC_1_830X_00_830274,PROVO CENTRAL STATION (BAY H),40.225211,-111.66129
Provo Central (Bay J),,,,,,,,SLC_1_830X_00_830298,PROVO CENTRAL STATION (BAY J),40.225032,-111.660816
Redwood Junction,LRT,15078.0,Redwood Junction,420595.0,4507117.0,420595_4507117,1351.0,SLC_1_704_01_TX101741,REDWOOD JUNCTION STATION,40.711146,-111.940293
Redwood Junction,LRT,15078.0,Redwood Junction,420595.0,4507117.0,420595_4507117,1351.0,SLC_1_704_00_TX101740,REDWOOD JUNCTION STATION,40.711149,-111.939324
