file_index,name,type,node_index,value
84,200So_2,tf,29,1.0
85,MidValCon,speed,18,36.0
85,MidValCon,tf,26,1.0
85,BRTNRedwd_T,tf,1,0.85
85,BRT56_R,tf,1,1.0
85,BRTFTHLWA_N,speed,49,21.0
85,BRTFTHLWA_N,tf,64,1.0
85,BRTFTHLWA_N,speed,97,21.0
85,BRTFTHLWA_N,tf,112,1.0
85,FthlDr2100,tf,33,1.0
85,FthlDr2100,speed,40,21.0
85,BRT3533S_Core,tf,1,0.75
85,BRT3533S_Core,tf,2,0.75
85,BRT3533S_Core,tf,55,0.85
89,UVX,tf,65,1.0
89,UVX,speed,67,13.0
89,UVX,tf,69,1.0
89,UVX,speed,81,21.0
89,UVX,speed,90,18.0
89,UVX,tf,100,1.0
89,UVX,tf,142,1.0
89,UVX,speed,142,18.0
89,UVX,tf,184,1.0
89,UVX,speed,194,21.0
89,UVX,speed,203,13.0
89,UVX,tf,215,1.0
91,POM_Rail,speed,1,14.0
91,POM_Rail,speed,5,14.0
91,POM_Rail,speed,8,10.0
91,POM_Rail,speed,10,18.0
91,POM_Rail,speed,12,30.0
91,POM_Rail,speed,18,27.0
91,POM_Rail,speed,21,21.0
92,O603,tf,15,1.2
92,O603,tf,28,1.0
92,O603,delay,29,1.0
92,O603,delay,37,1.0
92,O603,tf,38,1.0
92,StGrid_2_BRT,speed,29,19.0
92,StGrid_2_BRT,tf,76,1.0
92,200So_2,speed,3,11.0
92,200So_2,tf,29,1.0
93,MidValCon,speed,18,36.0
93,MidValCon,tf,26,1.0
93,BRTNRedwd_T,tf,1,0.85
93,BRT56_R,tf,1,1.0
93,BRTFTHLWA_N,speed,49,21.0
93,BRTFTHLWA_N,tf,64,1.0
93,BRTFTHLWA_N,speed,97,21.0
93,BRTFTHLWA_N,tf,112,1.0
93,FthlDr2100,tf,33,1.0
93,FthlDr2100,speed,40,21.0
93,BRT3533S_Core,tf,1,0.75
93,BRT3533S_Core,tf,2,0.75
93,BRT3533S_Core,tf,55,0.85
