name,longname,color,mode,oneway,headway1,headway2,faresystem,file_index,node_list
S470,,6,4,True,20,30,,4,"[28936, 28909, 28888, -28880, 28870, -28855, -28851, -28830, -28812, 10046, -28812, -28830, 28851, -28859, 28868, 28875, 28887, -28891, 28905, 28886, 28865, 28848, 28823, 28804, 28785, 28767, 28740, 28720, 28703, -28684, 28659, -28647, 28632, 28616, -28601, 28590, -28578, 28555, 28536, -28504, 28459, -28408, 28371, 28333, 28286, 28248, -28241, -28215, 28182, 28154, 28124, 28097, 28079, 28029, 28014, 27982, -27953, 27925, 27879, -27847, 27835, -27810, 27771, -27739, 27702, 27687, -27647, 27633, -27630, -27625, 27617, -27612, 27610, 27605, -27586, -27575, 27567, 27559, 27541, 27524, 27544, 27547, -27553, 27549, 27542, -27528, 27507, 27494, -27552, 27591, -27554, 27529, -27465, 27451, 27443, 27445, 27450, 27459, 27474, -27476, 27469, 27426, 27414, -27408, 27407, -27389, 27387, -27396, -27403, -27404, 27379, -27367, 27358, -27349, -27330, -27324, 27306, -27303, -27304, -27310, -27332, 27337, -27335, 27287, 27239, 27257, 27248, 27236, -27126, 27038, 26974, 26889, 26817, 26772, 26743, 26738, 26720, 26711, 26679, -26662, 26646, -26635, 26617, 26600, -26595, -26591, 26588, 26570, 26558, 26545, 26499, 26474, 26445, 26430, -26420, 26408, -26402, 26395, -26379, -26350, 26343, 26315, 26288, 26262, 26247, -26234, -26225, -26213, -26200, -26176, -26149, -26110, -26053, 25983, -25973, 25972, 25968, -25958, 25929, -25910, 25888, 25848, 25772, 25681, 25639, -25594, 25545, -25570, 25592, 25616, -25636, -25657, 25678, 25698, 25720, -25704, 25677, 25658, 25635, -25618, 25586, 25568, 25540, 25510, 25490, 25510, 25540, 25568, 25586, -25618, 25635, 25658, 25677, -25704, 25720, 25698, 25678, -25657, -25636, 25616, 25592, -25570, 25545, -25594, 25639, 25681, 25772, 25848, 25888, -25910, 25929, -25958, 25968, 25972, -25973, 25983, -26053, -26091, -26134, -26159, -26211, -26223, 26247, 26262, 26288, 26315, 26343, -26350, -26379, 26395, -26402, 26408, -26420, 26430, 26445, 26474, 26499, 26545, 26558, 26570, 26588, -26591, -26595, 26600, 26617, -26635, 26646, -26662, 26679, 26711, 26720, 26738, 26743, 26772, 26817, 26889, 26974, 27038, -27126, 27236, 27248, 27257, 27239, 27287, -27335, 27337, -27332, -27310, -27304, -27303, 27306, -27324, -27330, -27349, 27358, -27367, 27379, -27404, -27403, -27396, 27387, -27389, 27407, -27408, 27414, 27426, 27469, -27476, 27474, 27459, 27450, 27445, 27443, 27451, -27465, 27529, -27554, 27591, -27552, 27494, 27507, -27528, 27542, 27549, -27553, 27547, 27544, 27524, 27541, 27559, 27567, -27575, -27586, 10036, -27586, 27605, 27610, -27612, 27617, -27625, -27630, 27633, -27647, 27687, 27702, -27739, 27771, -27810, 27835, -27847, 27879, 27925, -27953, 27982, 28014, 28029, 28079, 28097, 28124, 28154, 28182, -28215, -28241, 28248, 28286, 28333, 28371, -28408, 28459, -28504, 28536, 28555, -28578, 28590, -28601, 28616, 28632, -28647, 28659, -28684, 28703, 28720, 28740, 28767, 28785, 28804, 28823, 28848, 28865, 28886, 28905, -28891, 28887, 28875, 28868, -28859, 28851, -28830, -28812, 10046, -28812, -28830, -28851, -28855, 28870, -28880, 28888, 28909, 28936]"
O603,,3,4,False,15,15,,4,"[28661, -28665, 28678, 28727, 28779, -28797, 28820, -28797, 28779, 28841, 28877, 28894, 28918, -28927, 28932, -28951, 28963, 28933, 28899, 28871, 28845, -28835, 28823, -28813, 28805, -28795, 28788, -28777, 28772, 28790, -28796, -28806, -28808, -28812, 10046]"
O604,,7,4,False,30,30,,4,"[28014, 28029, -28019, 27992, -27971, -27964, -27947, 27928, 27886, -27858, 27838, -27863, 27903, -27931, 27941, 28057, -28093, 28117, -28166, 10042, -28166, -28224, -28264, 28293, 28316, -28345, 28445, 28508, 28559, 28591, -28611, -28607, -28593, 28500, -28593, 28607, 28611, 28625, 28669, 28695, -28726, 28757, -28815, 28828, 28807, 28788, -28777, 28772, 28790, -28796, -28806, -28808, -28812, 10046]"
O606,,7,4,False,360,0,,4,"[28500, 28593, 28607, 28611, 28625, 28669, 28695, -28726, 28757, -28815, 28828, -28836, 28849, -28853, 28865, -28873, 28885, 28911, 28935, -28954, 28968, -28980, 28991, 29002, 29028, -29037, 29043, -29058, 29070, -29077, -29080, 29086]"
O608,,7,4,False,360,720,,4,"[29086, -29093, 29102, 29120, 29137, 29106, 29083, -29068, 29055, 29026, -29707, 28993]"
O612,,7,4,False,15,15,,4,"[29320, -29323, 29328, -29334, -29340, 29345, -29351, 29361, 29365, 29359, -29356, 29346, 29338, -29330, 29319, 29316, -29298, 29294, -29288, 29275, 29264, -29258, 29225, -29199, 29179, 29166, 29122, 29104, 29083, 29069, 29046, 29033, 29019, 29011, -28997, 28981, 28978, -28971, 28942, -28928, 28923, 28905, 28886, 28865, 28848, 28823, 28804, 28785, 28767, 28740, 28720, 28703, -28684, 28659, 28644, -28635, 28600, 28580, -28553, 28523, 28482, 28411, -28384, 28365, 28352, 28341, -28354, 28381, 28390, -28387, 28385, 28367, 28385, 28392, -28410, 28422]"
O613,,9,4,False,30,60,,4,"[29115, -29138, 29155, 29145, 29126, 29091, 29076, 29039, 28987, 28926, 28869, 28798, 28862, -28901, 28958, 28982, 28995, 29000, 29011, -28997, 28981, 28978, -28971, 28942, -28928, 28923, 28905, -28891, 28887, 28875, 28868, -28859, 28851, 28830, -28812, 10046]"
O616,,9,4,True,46,360,,4,"[10046, -28812, -28830, -28851, -28855, -28870, -28880, -28888, -28857, -28843, -28833, -28817, -28765, -28714, 28681, -28670, -28653, -28666, -28723, -28762, -28783, -28814, -28842, -28882, -28912, -28937, -29098, -29115, -29138, 29155, -29165, -29184, 29190, -29196, -29207, -29228, -29252, -29273, -29294, -29298, 29316, -29311, 29304, -29291, -29284, -29277, -29266, 29237, -29196, 29190, -29184, 10050, -29184, 29190, -29196, 29237, -29266, -29277, -29284, -29291, 29304, -29311, 29316, -29298, -29294, -29273, -29252, -29228, -29207, -29196, 29190, -29184, -29165, 29155, -29138, -29115, -29112, -29095, -28934, -28898, -28879, -28838, -28811, -28782, -28755, -28721, -28663, -28638, -28653, -28670, 28681, -28714, -28765, -28817, -28824, -28832, -28834, -28840, -28870, -28855, -28851, -28830, -28812, 10046]"
O625,,7,4,True,30,30,,4,"[29122, 29104, 29083, 29106, 29137, 29154, 29163, 29150, 29143, 29128, -29118, 29110, 29101, -29096, 29088, 29074, -29057, -29040, 29025, -29018, 29014, 29007, -28996, 28988, -28976, 28963, -28951, 28932, -28927, 28918, 28894, -28910, 28917, -28910, 28894, 28877, 28841, 28779, -28797, 28820, -28797, 28779, 28727, 28678, 28651, 28631, 28619, 28595, -28579, -28566, -28548, 28535, 28519, -28456, 28441, -28442, 28439, 28422, 28439, -28442, 28435, 28441, -28456, 28519, 28535, -28548, -28566, -28579, 28595, 28619, 28631, 28651, 28678, 28727, 28779, -28797, 28820, -28797, 28779, 28841, 28877, 28894, -28910, 28917, -28910, 28894, 28918, -28927, 28932, -28951, 28963, -28976, 28988, -28996, 29007, 29014, -29018, 29025, -29040, -29057, 29074, 29088, -29096, 29101, 29110, -29118, 29128, 29143, 29150, 29163, 29154, 29137, 29106, 29083, 29104, 29122]"
O626,,9,4,False,30,60,,4,"[27825, -27828, 27838, -27817, 27783, -27737, 27696, -27659, 27607, -27550, 27492, -27453, 27411, 27352, 27311, -27254, 27232, 27109, -27055, 26978, 26932, 26995, 27104, 27186, -27230, -27273, 27302, 27382, 27479, -27510, 27541, -27559, 27567, -27575, -27586, 10036]"
O627,,7,4,False,30,60,,4,"[27414, 27426, 27469, 27501, 27590, 27501, 27534, 27589, -27614, 27666, -27676, -27691, 27723, 27743, 27820, -27799, 27754, 27749, 27674, 27628, 27624, -27644, -27672, 27701, 27803, 27830, 27872, 27898, -27866, 27822, -27816, 27813, 27755, -27813, -27816, 27822, 27804, -27728, -27719, -27698, 27684, 27605, -27586, 10036]"
